point_id,local_x,local_y,local_z,original_z,source_layer,source_handle,is_outlier
P00116,-1745.966,-2708.1747,29.79,29.79,9-지형-POINT,3935F,False
P00117,-1742.556,-2701.0547,29.09,29.09,9-지형-POINT,39361,False
P00118,-1745.646,-2705.0747,29.71,29.71,9-지형-POINT,39363,False
P00119,-1751.966,-2702.4247,30.49,30.49,9-지형-POINT,39365,False
P00120,-1754.156,-2703.9747,30.64,30.64,9-지형-POINT,39367,False
P00121,-1743.566,-2702.3647,29.26,29.26,9-지형-POINT,39369,False
P00122,-1766.676,-2697.0247,31.65,31.65,9-지형-POINT,3936B,False
P00123,-1744.956,-2704.8747,29.58,29.58,9-지형-POINT,3936D,False
P00124,-1770.206,-2681.2747,28.64,28.64,9-지형-POINT,3936E,False
P00125,-1769.566,-2692.4547,32.36,32.36,9-지형-POINT,39370,False
P00126,-1743.176,-2704.6947,29.62,29.62,9-지형-POINT,39372,False
P00127,-1775.366,-2692.1747,33.33,33.33,9-지형-POINT,39373,False
P00128,-1770.566,-2675.3647,27.24,27.24,9-지형-POINT,39375,False
P00129,-1770.706,-2695.4247,32.35,32.35,9-지형-POINT,39377,False
P00130,-1741.596,-2707.9347,29.71,29.71,9-지형-POINT,39379,False
P00131,-1775.896,-2695.8447,33.52,33.52,9-지형-POINT,3937B,False
P00132,-1738.266,-2708.6847,29.58,29.58,9-지형-POINT,3937D,False
P00133,-1778.746,-2693.4447,33.83,33.83,9-지형-POINT,3937F,False
P00134,-1771.056,-2673.6647,26.58,26.58,9-지형-POINT,39381,False
P00135,-1777.316,-2689.6947,33.54,33.54,9-지형-POINT,39383,False
P00136,-1733.446,-2691.8547,28.23,28.23,9-지형-POINT,39385,False
P00137,-1741.066,-2727.1147,30.6,30.6,9-지형-POINT,39387,False
P00138,-1771.996,-2700.0747,35.68,35.68,9-지형-POINT,39389,False
P00139,-1750.376,-2708.2847,32.17,32.17,9-지형-POINT,3938B,False
P00140,-1763.366,-2707.1847,35.51,35.51,9-지형-POINT,3938D,False
P00141,-1742.606,-2724.0047,31.56,31.56,9-지형-POINT,3938F,False
P00142,-1750.846,-2714.6747,34.39,34.39,9-지형-POINT,39391,False
P00143,-1760.846,-2718.9347,40.08,40.08,9-지형-POINT,39393,False
P00144,-1750.806,-2726.6247,38.37,38.37,9-지형-POINT,39395,False
P00145,-1746.766,-2723.5147,34.49,34.49,9-지형-POINT,39397,False
P00146,-1759.226,-2730.6847,44.18,44.18,9-지형-POINT,39399,False
P00147,-1768.866,-2672.3947,25.03,25.03,9-지형-POINT,3939B,False
P00148,-1774.336,-2667.5847,25.79,25.79,9-지형-POINT,3939D,False
P00149,-1782.16,-2634.6397,24.37,24.37,9-지형-POINT,3939F,False
P00150,-1775.576,-2668.2047,25.53,25.53,9-지형-POINT,393A1,False
P00151,-1788.676,-2639.0847,24.37,24.37,9-지형-POINT,393A3,False
P00152,-1794.106,-2641.7047,24.39,24.39,9-지형-POINT,393A5,False
P00153,-1793.486,-2642.3047,24.38,24.38,9-지형-POINT,393A7,False
P00154,-1790.456,-2642.7247,24.41,24.41,9-지형-POINT,393A9,False
P00155,-1789.696,-2642.4347,24.05,24.05,9-지형-POINT,393AB,False
P00156,-1789.216,-2646.3747,23.66,23.66,9-지형-POINT,393AD,False
P00157,-1790.806,-2652.5047,24.36,24.36,9-지형-POINT,393AF,False
P00158,-1785.636,-2642.7047,24.13,24.13,9-지형-POINT,393B1,False
P00159,-1792.446,-2650.8647,24.13,24.13,9-지형-POINT,393B3,False
P00160,-1794.246,-2650.6347,23.94,23.94,9-지형-POINT,393B5,False
P00161,-1790.746,-2645.8747,23.97,23.97,9-지형-POINT,393B7,False
P00162,-1793.206,-2645.4147,23.24,23.24,9-지형-POINT,393B9,False
P00163,-1795.806,-2642.5047,21.2,21.2,9-지형-POINT,393BB,False
P00164,-1776.416,-2621.7347,20.36,20.36,9-지형-POINT,393BD,False
P00165,-1798.316,-2635.0347,17.36,17.36,9-지형-POINT,393BF,False
P00166,-1778.796,-2625.1147,20.31,20.31,9-지형-POINT,393C1,False
P00167,-1803.556,-2640.6547,19.48,19.48,9-지형-POINT,393C3,False
P00168,-1788.756,-2637.6347,20.59,20.59,9-지형-POINT,393C5,False
P00169,-1789.926,-2638.6347,20.46,20.46,9-지형-POINT,393C7,False
P00170,-1802.326,-2646.3947,22.58,22.58,9-지형-POINT,393C9,False
P00171,-1794.346,-2635.0947,20.7,20.7,9-지형-POINT,393CB,False
P00172,-1794.356,-2635.0947,20.69,20.69,9-지형-POINT,393CD,False
P00173,-1811.966,-2653.0447,24.34,24.34,9-지형-POINT,393CE,False
P00174,-1794.846,-2638.7147,21.52,21.52,9-지형-POINT,393D0,False
P00175,-1795.996,-2636.5347,21.5,21.5,9-지형-POINT,393D2,False
P00176,-1823.876,-2648.8347,22.31,22.31,9-지형-POINT,393D4,False
P00177,-1837.386,-2652.6747,22.84,22.84,9-지형-POINT,393D6,False
P00178,-1798.666,-2631.6947,21.45,21.45,9-지형-POINT,393D8,False
P00179,-1798.766,-2630.9847,21.46,21.46,9-지형-POINT,393DA,False
P00180,-1835.606,-2661.9647,24.76,24.76,9-지형-POINT,393DC,False
P00181,-1794.586,-2629.9447,21.51,21.51,9-지형-POINT,393DE,False
P00182,-1794.066,-2629.7247,21.52,21.52,9-지형-POINT,393E0,False
P00183,-1790.996,-2627.2147,21.52,21.52,9-지형-POINT,393E2,False
P00184,-1790.626,-2626.7647,21.53,21.53,9-지형-POINT,393E4,False
P00185,-1860.616,-2657.2747,19.32,19.32,9-지형-POINT,393E6,False
P00186,-1787.126,-2621.1447,21.51,21.51,9-지형-POINT,393E8,False
P00187,-1783.516,-2614.9547,21.52,21.52,9-지형-POINT,393EA,False
P00188,-1783.496,-2618.0047,20.87,20.87,9-지형-POINT,393EC,False
P00189,-1777.536,-2618.1447,21.54,21.54,9-지형-POINT,393EE,False
P00190,-1774.996,-2617.4347,21.51,21.51,9-지형-POINT,393F0,False
P00191,-1727.696,-2768.7547,33.23,33.23,9-지형-POINT,393F2,False
P00192,-1728.556,-2768.5947,33.32,33.32,9-지형-POINT,393F4,False
P00193,-1740.906,-2727.8847,30.42,30.42,9-지형-POINT,393F6,False
P00194,-1741.096,-2727.8447,31.84,31.84,9-지형-POINT,393F7,False
P00195,-1740.236,-2735.2347,31.05,31.05,9-지형-POINT,393F9,False
P00196,-1741.316,-2736.2047,31.16,31.16,9-지형-POINT,393FB,False
P00197,-1741.356,-2736.1547,33.0,33.0,9-지형-POINT,393FD,False
P00198,-1730.666,-2774.3947,33.81,33.81,9-지형-POINT,393FF,False
P00199,-1741.226,-2748.4447,32.09,32.09,9-지형-POINT,39401,False
P00200,-1741.216,-2748.4847,34.65,34.65,9-지형-POINT,39403,False
P00201,-1751.076,-2736.0547,40.85,40.85,9-지형-POINT,39405,False
P00202,-1740.406,-2755.5647,32.52,32.52,9-지형-POINT,39407,False
P00203,-1741.266,-2757.7747,32.71,32.71,9-지형-POINT,39409,False
P00204,-1741.256,-2757.8547,35.28,35.28,9-지형-POINT,3940B,False
P00205,-1741.836,-2764.7747,33.19,33.19,9-지형-POINT,3940D,False
P00206,-1741.846,-2764.6847,35.75,35.75,9-지형-POINT,3940F,False
P00207,-1733.196,-2781.1747,34.24,34.24,9-지형-POINT,39411,False
P00208,-1742.716,-2770.5247,33.63,33.63,9-지형-POINT,39413,False
P00209,-1742.186,-2767.0447,35.93,35.93,9-지형-POINT,39415,False
P00210,-1755.746,-2755.5447,46.07,46.07,9-지형-POINT,39417,False
P00211,-1742.976,-2772.2147,35.5,35.5,9-지형-POINT,39419,False
P00212,-1737.516,-2790.9847,34.84,34.84,9-지형-POINT,3941B,False
P00213,-1743.896,-2779.3547,34.24,34.24,9-지형-POINT,3941D,False
P00214,-1742.776,-2779.6847,34.25,34.25,9-지형-POINT,3941F,False
P00215,-1742.226,-2801.5647,35.35,35.35,9-지형-POINT,39421,False
P00216,-1750.456,-2764.1047,43.6,43.6,9-지형-POINT,39423,False
P00217,-1744.176,-2780.5647,34.93,34.93,9-지형-POINT,39425,False
P00218,-1744.576,-2808.1047,35.71,35.71,9-지형-POINT,39427,False
P00219,-1748.216,-2793.0947,35.26,35.26,9-지형-POINT,39429,False
P00220,-1747.056,-2817.3447,36.08,36.08,9-지형-POINT,3942B,False
P00221,-1749.106,-2792.6647,35.87,35.87,9-지형-POINT,3942D,False
P00222,-1754.336,-2777.4547,43.02,43.02,9-지형-POINT,3942F,False
P00223,-1753.516,-2805.6447,36.12,36.12,9-지형-POINT,39431,False
P00224,-1754.476,-2805.3147,36.73,36.73,9-지형-POINT,39433,False
P00225,-1756.456,-2787.8247,42.52,42.52,9-지형-POINT,39435,False
P00226,-1756.346,-2812.4347,36.5,36.5,9-지형-POINT,39437,False
P00227,-1759.166,-2824.5147,36.9,36.9,9-지형-POINT,39439,False
P00228,-1756.676,-2812.8047,36.51,36.51,9-지형-POINT,3943B,False
P00229,-1756.856,-2822.5847,36.7,36.7,9-지형-POINT,3943D,False
P00230,-1757.666,-2812.3647,37.06,37.06,9-지형-POINT,3943F,False
P00231,-1756.786,-2829.0947,36.66,36.66,9-지형-POINT,39441,False
P00232,-1755.456,-2838.1147,36.69,36.69,9-지형-POINT,39443,False
P00233,-1757.576,-2814.6747,36.6,36.6,9-지형-POINT,39445,False
P00234,-1758.446,-2814.1547,36.96,36.96,9-지형-POINT,39447,False
P00235,-1756.796,-2807.8547,36.89,36.89,9-지형-POINT,39449,False
P00236,-1773.896,-2804.8947,44.87,44.87,9-지형-POINT,3944B,False
P00237,-1751.936,-2852.2047,36.42,36.42,9-지형-POINT,3944D,False
P00238,-1768.586,-2790.6547,46.87,46.87,9-지형-POINT,3944F,False
P00239,-1747.886,-2823.0847,36.25,36.25,9-지형-POINT,39451,False
P00240,-1756.916,-2824.1247,36.66,36.66,9-지형-POINT,39453,False
P00241,-1747.786,-2831.2347,36.33,36.33,9-지형-POINT,39455,False
P00242,-1760.556,-2826.7947,36.87,36.87,9-지형-POINT,39457,False
P00243,-1746.656,-2838.7247,36.37,36.37,9-지형-POINT,39459,False
P00244,-1767.826,-2828.8147,37.11,37.11,9-지형-POINT,3945B,False
P00245,-1745.046,-2846.3647,36.27,36.27,9-지형-POINT,3945D,False
P00246,-1776.816,-2791.5047,49.67,49.67,9-지형-POINT,3945F,False
P00247,-1777.016,-2831.4747,37.28,37.28,9-지형-POINT,39461,False
P00248,-1762.036,-2848.0747,37.17,37.17,9-지형-POINT,39463,False
P00249,-1782.566,-2833.7947,37.39,37.39,9-지형-POINT,39465,False
P00250,-1767.116,-2833.7247,37.52,37.52,9-지형-POINT,39467,False
P00251,-1787.016,-2806.6947,48.14,48.14,9-지형-POINT,39468,False
P00252,-1787.746,-2836.8947,37.32,37.32,9-지형-POINT,3946A,False
P00253,-1756.616,-2830.2847,36.71,36.71,9-지형-POINT,3946C,False
P00254,-1760.826,-2830.6847,37.02,37.02,9-지형-POINT,3946E,False
P00255,-1781.856,-2812.9647,44.96,44.96,9-지형-POINT,39470,False
P00256,-1761.496,-2833.0047,37.03,37.03,9-지형-POINT,39472,False
P00257,-1764.346,-2833.8347,37.1,37.1,9-지형-POINT,39474,False
P00258,-1770.906,-2825.4147,39.06,39.06,9-지형-POINT,39476,False
P00259,-1766.086,-2833.5247,37.18,37.18,9-지형-POINT,39478,False
P00260,-1782.13,-2820.7027,42.004,42.004,9-지형-POINT,3947A,False
P00261,-1785.936,-2827.4347,40.6,40.6,9-지형-POINT,3947C,False
P00262,-1767.636,-2832.2147,37.14,37.14,9-지형-POINT,3947E,False
